,day_svi_id,year,month,day_svi_lat,day_svi_lon,day_svi_heading,night_svi_lat,night_svi_lon,lux,distance_err,total_area,total_luminosity,avg_luminosity,avg_distance,mid_distance,weighted_lum_std,weighted_dist_std,max_contour_size
2104,1pf6totvDB-QwVwTj78_5A,2022,5,1.301721211,103.7704485,0.437931308,1.301726,103.7704331,7,1.61E-05,29301,3179805.715,108.5220885,188.706899,181.5158395,401.1017952,33.88733469,8245
2105,1pqu-Nu88YG5W4ytk8j4dg,2012,6,1.34054945,103.6975313,5.577706478,1.3405544,103.6975345,12,5.92E-06,39754,4486616.906,112.8595086,185.5022636,175.3282636,354.4920009,30.1261134,10160
2106,1udP6_bIBDUoc035gf5qzw,2018,4,1.297254283,103.7671221,3.274138447,1.297247,103.7671216,10,7.30E-06,30193,3389777.498,112.2703109,179.5026863,173.8763929,408.5099098,25.22039191,12698.5
2107,1tviIQBqDSXovjX6qeRLvA,2019,6,1.282186482,103.7874479,0.851596225,1.2821873,103.7874398,22,8.13E-06,18070,2064463.405,114.2481132,206.7528197,225.6656818,543.4128979,45.18760502,9886
2108,1vkBA7ENrJieeWde9a75tQ,2021,7,1.311757665,103.7683169,4.931405218,1.3117823,103.7683307,21,2.82E-05,22408,2604817.896,116.2449971,182.9373485,172.4093965,494.45856,33.10689645,6960.5
2109,1y7SgKIiExYWm89Vv4Behg,2019,6,1.29533452,103.7841385,5.506608066,1.295351,103.7841477,14,1.89E-05,51793,5812396.781,112.2235974,201.5426494,201.2287256,305.2292203,38.63624711,15221.5
2110,256nmhN5WfiyVgbqVOVHwQ,2016,9,1.307894216,103.7701314,4.346167313,1.3079142,103.7701143,23,2.63E-05,27851,3165669.566,113.6644848,185.9175741,172.800463,431.5958095,35.55507756,8850.5
2111,25d3iZcFTMMAhee1qgp2Qw,2019,6,1.297980426,103.777189,2.279219547,1.2979624,103.7771733,17,2.39E-05,21385,2236980.376,104.6051146,187.7390017,179.6134739,456.2622715,31.74023527,6308.5
2112,20FfKsOFr2U4lYciYYxIyw,2015,4,1.327421517,103.7936124,0.393218831,1.3274389,103.7936269,22,2.26E-05,29553,4453124.35,150.6826498,206.8633409,212.8778993,553.1345902,40.35679208,16939
2113,29FHmEgazjhuwR6VIoWZtA,2015,3,1.291731329,103.8509517,3.660464585,1.2917329,103.8509582,19,6.73E-06,50246,5382202.803,107.1170402,187.741049,184.7078775,297.5739647,28.53185679,41598
2114,2GthY0LlhveE5uE_09atwQ,2021,6,1.300570966,103.7741206,5.483434303,1.3005964,103.7741124,7,2.67E-05,13724,1619117.631,117.9770935,175.5918111,165.9518002,646.5157525,28.73400334,5436
2115,2IiBLQ1k--EocrCOlx-tJQ,2018,3,1.319988885,103.6580745,2.310910099,1.320037,103.6580672,18,4.87E-05,25681,3248521.455,126.4951308,218.6790553,234.931905,501.4147005,47.23842363,14332
2116,2CJuQQh4BpAY_uXBCZgNCA,2011,9,1.334058112,103.6480019,2.327948737,1.3340505,103.647996,0,9.64E-06,16717,1540386.881,92.14493516,174.3172488,168.2171216,457.1898472,20.70931638,4788.5
2117,2N6UfMh80CvkSrLkP8F0PQ,2019,7,1.28423623,103.7873971,2.725540845,1.2842279,103.7873933,15,9.17E-06,9797,1248506.981,127.4376831,218.6316829,225.5238347,829.2242528,28.54689856,8192
2118,2NB1VAM3_THzwYre36p80w,2017,12,1.281154416,103.8478478,3.646540247,1.2811516,103.8478297,26,1.83E-05,49119,5516006.911,112.2988438,194.4904822,180.8784122,315.578776,38.68719279,26945.5
2119,2NwEr5_ItXUZIYtkRlzIMg,2019,6,1.289804359,103.7755565,1.883596048,1.2898302,103.7755459,5,2.79E-05,24538,2586931.271,105.4255143,172.7751187,162.9969325,427.6991905,25.4089667,15459
